R,Rc,r1,r1c,r2,r2c,c1,c1c,c2,c2c,t,T,p,y,class,m,am,l,s
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,F[P-](F)(F)(F)(F)F.[H+],10,0.5,70,CC(C1=CC=CC=C1)=O,13,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,F[B-](F)(F)F.[H+],10,0.5,70,CC(C1=CC=CC=C1)=O,28,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,OC(C(F)(F)F)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,37,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(C(F)(F)F)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,44,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,50,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,90,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,23,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,87,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,1,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CCCCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,12,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,50,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,86,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.05,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,20,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.05,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,50,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.025,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,1,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(C)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],0.025,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,17,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.5,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,53,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.1,O=S(O)(O)=O,10,1,70,CC(C1=CC=CC=C1)=O,99,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.05,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,15,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.05,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,40,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.025,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,1,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=CSC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],0.025,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,5,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CN1C=NC=C1C#C[Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,1,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CN1C=NC=C1C#C[Au+][P](C2=CC(S(=O)([O-])=O)=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,6,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=NC=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,65,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,O=S(C1=CC=CC([P]([Au+]C#CC2=NC=CC=C2)(C3=CC=CC(S(=O)([O-])=O)=C3)C4=CC=CC(S(=O)([O-])=O)=C4)=C1)([O-])=O.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,100,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,COC1=CC(C=C2)=C(C=C1)C=C2C#C[Au+][P](C3=CC(S(=O)([O-])=O)=CC=C3)(C4=CC=CC(S(=O)([O-])=O)=C4)C5=CC=CC(S(=O)([O-])=O)=C5.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,3,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,COC1=CC(C=C2)=C(C=C1)C=C2C#C[Au+][P](C3=CC(S(=O)([O-])=O)=CC=C3)(C4=CC=CC(S(=O)([O-])=O)=C4)C5=CC=CC(S(=O)([O-])=O)=C5.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,23,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,42,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,OCC#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,1.5,70,CC(C1=CC=CC=C1)=O,82,m,1,0,0,0
C#CC1=CC=CC=C1,0.5,CO,5,O,1,CC(O)(C)C#C[Au+][P](C1=CC(S(=O)([O-])=O)=CC=C1)(C2=CC=CC(S(=O)([O-])=O)=C2)C3=CC=CC(S(=O)([O-])=O)=C3.[Na+].[Na+].[Na+],1,O=S(O)(O)=O,10,0.5,70,CC(C1=CC=CC=C1)=O,10,m,1,0,0,0
